Image Points (x, y):
544.7530517578125, 515.6824951171875
519.8167114257812, 509.1670837402344
492.92388916015625, 501.54931640625
467.02191162109375, 494.92547607421875
665.3247680664062, 523.2108154296875
643.4196166992188, 517.1625366210938
620.2134399414062, 510.1504821777344
597.9110107421875, 504.0369567871094
573.7518310546875, 497.0814514160156
549.48681640625, 490.2937927246094
524.2743530273438, 482.8927307128906
498.36346435546875, 475.9042053222656
472.20672607421875, 468.05157470703125
668.4677124023438, 499.3158874511719
646.4332885742188, 492.6409606933594
623.9502563476562, 486.0588684082031
601.30859375, 479.0613708496094
528.9232788085938, 457.6865539550781
503.4080505371094, 449.6684875488281
477.9623107910156, 442.4139404296875
670.8389282226562, 475.3174743652344
649.65185546875, 469.0069274902344
626.9732666015625, 461.6753845214844
605.072265625, 455.0119323730469
508.8709411621094, 425.0744934082031
483.2547302246094, 416.9028015136719
673.8134765625, 452.6708068847656
652.0185546875, 445.0377502441406
nan, nan
585.4107666015625, 423.97222900390625
513.7103881835938, 400.7231140136719
488.5664367675781, 392.6246032714844
669.7252197265625, 578.5445556640625
651.0654907226562, 575.0789184570312
672.47265625, 553.4469604492188
653.49365234375, 549.4695434570312
634.1548461914062, 545.1394653320312
674.6779174804688, 528.1656494140625
656.2022705078125, 523.9739379882812
636.8973999023438, 519.4470825195312
677.3114624023438, 503.64593505859375
658.503662109375, 498.525146484375
639.675048828125, 494.06683349609375
679.810791015625, 479.5128479003906
661.21435546875, 474.2507629394531
642.084716796875, 468.6051330566406
682.070068359375, 455.7188720703125
663.729736328125, 450.0149230957031
645.3013916015625, 444.2580871582031
669.356689453125, 580.3248901367188
650.0263061523438, 576.1102905273438
672.1214599609375, 554.9190673828125
653.0134887695312, 550.1329956054688
633.7271728515625, 546.005859375
674.8634033203125, 529.7144165039062
656.4248046875, 525.1248168945312
636.8508911132812, 520.0294799804688
678.2646484375, 505.02618408203125
659.1387939453125, 499.9610595703125
640.2775268554688, 494.7828674316406
680.915283203125, 480.951904296875
662.3802490234375, 475.4985046386719
643.6327514648438, 469.7935791015625
683.884033203125, 457.2629089355469
665.2364501953125, 451.1619873046875
646.8118896484375, 445.2533264160156
nan, nan
nan, nan
nan, nan
nan, nan
nan, nan
nan, nan
nan, nan
nan, nan
nan, nan
nan, nan
nan, nan
nan, nan
nan, nan
640.53271484375, 557.3831176757812
615.6668090820312, 551.1639404296875
590.9766235351562, 544.7140502929688
565.1014404296875, 538.081787109375
539.3209228515625, 531.14111328125
513.6265258789062, 524.9429321289062
487.06060791015625, 517.7835083007812
694.7371826171875, 545.539794921875
670.2430419921875, 538.8692016601562
646.0684814453125, 532.5792236328125
620.4150390625, 525.4147338867188
596.750732421875, 519.5432739257812
571.2139282226562, 512.7649536132812
545.9429321289062, 506.1978454589844
520.1185913085938, 499.09344482421875
699.103271484375, 520.83056640625
675.4190063476562, 514.6513671875
650.80078125, 507.6451110839844
626.76611328125, 501.30462646484375
602.4860229492188, 494.7060852050781
577.1680297851562, 488.0718994140625
551.9840698242188, 481.08428955078125
526.8668212890625, 474.6533203125
703.944580078125, 496.82464599609375
680.1112670898438, 490.17633056640625
656.2369995117188, 483.705322265625
632.0720825195312, 476.9248046875
608.0504760742188, 470.38616943359375
582.785400390625, 463.189208984375
558.0139770507812, 457.0470275878906
533.0306396484375, 449.71875
507.8253479003906, 443.3399353027344
708.2404174804688, 473.05535888671875
685.0903930664062, 466.5970458984375
661.0012817382812, 459.8697204589844
637.4779663085938, 453.4295959472656
613.2689819335938, 446.39666748046875
589.03173828125, 439.8711853027344
564.0551147460938, 432.8207702636719
712.9677124023438, 449.996826171875
689.4750366210938, 442.858642578125
666.0247192382812, 436.8982849121094
642.50634765625, 429.68316650390625
569.8526611328125, 410.1854553222656
655.2846069335938, 558.4252319335938
632.0740966796875, 553.08203125
533.4374389648438, 529.9375
704.42919921875, 544.1884765625
681.897216796875, 538.4841918945312
659.4945678710938, 533.0972290039062
636.150146484375, 527.3654174804688
612.439208984375, 521.7879028320312
538.2582397460938, 503.1905517578125
707.6857299804688, 519.66455078125
685.7913208007812, 514.014892578125
663.1045532226562, 508.0844421386719
640.4470825195312, 502.4159851074219
616.6425170898438, 496.1726379394531
593.0382080078125, 490.2296447753906
568.3649291992188, 483.8772888183594
543.7802124023438, 477.6529846191406
711.23193359375, 495.8273010253906
688.955810546875, 489.34027099609375
667.1387939453125, 483.821533203125
